"corpus","preloaded/cup_open_clcu"
"subcorpus",""
"concordance size","1358"
"query","Query:<doc first_language==""Greek"">[]"
"FCE,2002","<s>","Dear","Sam, Hi! </s>"
"FCE,2002","<s>","It","was a lovely summer night. </s>"
"FCE,2002","<s>","Dear","Sam, I hope this letter finds you well. </s>"
"FCE,2002","<s>","It","was one of those hot summer mornings. </s>"
"FCE,2002","<s>","Dear","Sam </s>"
"FCE,2002","<s>","This","year I am seventeen years old, although I am teenager. </s>"
"FCE,2002","<s>","Dear","Sam, Thank you for your nice letter, it was really a delight to read. </s>"
"FCE,2002","<s>","Human","life goes through many phases. </s>"
"FCE,2002","<s>","Dear","Sam, Your visit was a wonderful surprise! </s>"
"FCE,2002","<s>","It","was Monday morning. </s>"
"FCE,2002","<s>","Dear","Sam </s>"
"FCE,2002","<s>","Usually",", for one person''s life the best years he have is during the teenage years and that because he is depending in his parents, he ussualy doesn''t have to work to make money and he doesn''t have a lot rensposibilities </s>"
"FCE,2002","<s>","Dear","Kim Thanks for your letter Kim. </s>"
"FCE,2002","<s>","TO",": Mr Wilson FROM: SUBJECT: The main means of transport in my area and how they could be improved. </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","TO",": Our teacher </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","My","day started badly, but it got better and better. </s>"
"FCE,2002","<s>","Hi","Kim! </s>"
"FCE,2002","<s>","In","my life there are a few special people because it''s difficult to find someone special for you. </s>"
"FCE,2002","<s>","13th","of July, 2002 Dear Kim, I''m writing in response to your previous letter. </s>"
"FCE,2002","<s>","My","day started badly, but it got better and better. </s>"
"FCE,2002","<s>","Dear","Kim, How are you? </s>"
"FCE,2002","<s>","SPECIAL","PEOPLE. </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","SPECIAL","PEOPLE </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","""","The most important person"" </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","To","the school magazine. </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","My","day started badly, but it got better and better. </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","She","should be called Maria Tereza (2) </s>"
"FCE,2002","<s>","Hi","there, Kim, I hope life is treating you well. </s>"
"FCE,2002","<s>","My","day started badly, but it got better and better. </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","SPECIAL","PEOPLE </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","""","PERSONS WHO ARE IMPORTANT IN OUR LIVES"" </s>"
"FCE,2002","<s>","Hi","Kim, </s>"
"FCE,2002","<s>","All","people have a person in their lives to help and support them. </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","SPECIAL","PEOPLE </s>"
"FCE,2002","<s>","Dear","Kim, </s>"
"FCE,2002","<s>","My","most important person in my life </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","My","day started badly but it got better and better In the begining of this day I wake up with a headache. </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","Dear","Sir/Madam </s>"
"FCE,2002","<s>","Dear","Kim </s>"
"FCE,2002","<s>","The","transport in our area </s>"
"FCE,2002","<s>","Hello","Kim Thanks you for your invitation. </s>"
"FCE,2002","<s>","In","area, where I live, we use the main means of transport. </s>"
"FCE,2002","<s>","Dear","..., I hope this letter finds you and your family in good health. </s>"
"FCE,2002","<s>","The","most important person in my life is Steve Harris who plays bass at my favourite English band Iron Maiden. </s>"
"FCE,2002","<s>","Dear","..., I''m writing to tall you that I accept your invitation to go to a concert by my favourite band, Red Stone. </s>"
"FCE,2002","<s>","The","most important person in our life. </s>"
"FCE,2002","<s>","Dear",", Thank you very much for writting me and I must tell you that I miss you very much. </s>"
"FCE,2002","<s>","My","day started badly, but it got better and better. </s>"
"FCE,2004","<s>","Dear","Mrs Hopkins, With reference to the leaflet that I have been given, I am writing to make my suggestions about the improvement of the swimming pool. </s>"
"FCE,2004","<s>","Dear","Robert Thanks for your letter. </s>"
"FCE,2004","<s>","Dear","Mrs Hopkins, I am writing to you in reference with the improvements that can be made in the local swimming pool. </s>"
"FCE,2004","<s>","Dear","Harry, how are you? </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I have been given a leaflet recently about saying my opinion for the Greenbank Swimming Pool I think there should be some changes in some of your facilities. </s>"
"FCE,2004","<s>","It","all started a sunny morning at Mark''s house near the sea. </s>"
"FCE,2004","<s>","Dear","Rebeca Hopkins, I am writing to you, to express my opinion about the Greenbank swimming pool which I frequently use. </s>"
"FCE,2004","<s>","Dear","Chris, Hi! </s>"
"FCE,2004","<s>","Dear","Rebecca Hopking The reason I am writing this letter is that I have been given your liflet about Greenbank Swimming Pool and I have asked to give you my opinions about your swimming pool. </s>"
"FCE,2004","<s>","Dear","George, I am writing this letter because you asked me what you should do with the money you won in a competition. </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I have just read your leaflet and I am writing in order to give you some advice about the changes that should be done to improve your facilities. </s>"
"FCE,2004","<s>","Dear","Mary, I''ve just received your letter. </s>"
"FCE,2004","<s>","Dear","Mrs Rebecca Hopkins, I''m writting to you because I usually use your swimming pool and I would like you to do some changes for the swimming pool to do it as better as you can. </s>"
"FCE,2004","<s>","THE","GREEN CREATURES Mark and Angela looked at each other and started to laugh. </s>"
"FCE,2004","<s>","Dear","Mrs Hopkins I am a student and I like swimming in a swimming pool concerned. </s>"
"FCE,2004","<s>","Dear","Bill, It was great to get your letter. </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I am writing to tell you my opinion about your questions on the leaflet and ask you some informations about the swimming pool. </s>"
"FCE,2004","<s>","Dear","George, I am so happy about you won in the competition and I am too glad that you want for me to tell you my opinion, what you should do with your money. </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I''m writing in response to your advertisement about the local swimming pool. </s>"
"FCE,2004","<s>","Dear","friend, I''m writing to give you advice about the money you have won. </s>"
"FCE,2004","<s>","Dear","Mis Hopkins, I am writing this letter in order to give you ideas for making the Greenbank Swimming Pool better. </s>"
"FCE,2004","<s>","Dear","Nick, Sorry for not writing to you for so long but I was very busy, the basketball tournament has just ended and I also have the examinations in school also FCE and Mishigan First of all, Congratulations for winning the competition. </s>"
"FCE,2004","<s>","Dear","Mrs Rebecca Hopkins, I am writing to give you my opionions about the Greenbank Swimming pool. </s>"
"FCE,2004","<s>","Mark","and Angela looked at each other and started to laugh. </s>"
"FCE,2004","<s>","15","May, 2004 Dear Rebecca Hopkins, I am writing in connection with your leaflet that you sent me asking me to give you my opinion about what changes should be made at the swimming pool. </s>"
"FCE,2004","<s>","15","May, 2004 Dear George, Thank you for your letter asking me to give you some advice about what should you do with the money you have just won. </s>"
"FCE,2004","<s>","Dear","Mrs Rebecca, I read the leaflet, and I would like to give you some advise for the operation of swimming pool. </s>"
"FCE,2004","<s>","Dear","George, I received your letter last week, and I am glad that you won a competition. </s>"
"FCE,2004","<s>","Dear","Ms Hopkins, I am writing to you, to give my opinion about the Greenbank swimming pool. </s>"
"FCE,2004","<s>","last","summer Mark and Angela had gone for holidays in Crete. </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I am writing to state my opinion about how to improve your swimming pool, referred on the leaflet you have wrote. </s>"
"FCE,2004","<s>","Nowadays",", TV programms are becoming more and more, people watch them and as a result they are influenced positive or negative from them. </s>"
"FCE,2004","<s>","Dear","Rebecca, I am writing to give you my opinion and descibe to you how I see this luxury swimming pool. </s>"
"FCE,2004","<s>","It","was raining night in a house near to Mexico. </s>"
"FCE,2004","<s>","Dear","Mrs. Hopkins, I am writing to you to tell you about your local swimming pool and the money you have been given to spend. </s>"
"FCE,2004","<s>","Mark","and Angela were students of their Local High School. </s>"
"FCE,2004","<s>","15th","May, 2004 Dear Mrs Rebecca Hopkins, My name is ... ... and I frequently use the swimming pool. </s>"
"FCE,2004","<s>","15.05.2004","Dear George, is life treating you well? </s>"
"FCE,2004","<s>","Dear","Ms Hopkins, I am writing in reply to your leaflet which I received yesterday I would like to give you my opinion about your swimming pool if it can help you, of course. </s>"
"FCE,2004","<s>","It","was night and I decided with my best friends to go at the cinema. </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins I am writing to you because I would like to give you my opinions as regards the Greenbank Swimming Pool. </s>"
"FCE,2004","<s>","It","was a cold night of winter Mark and Angela were in their house. </s>"
"FCE,2004","<s>","Dear","Mrs Hopkins, I am writing this letter to you, in order to answer on, your leaflet. </s>"
"FCE,2004","<s>","TV","around the world Have you ever considered what is happening with the TV in your country? </s>"
"FCE,2004","<s>","Dear","Rebecca Hopkins, I love swimming. </s>"
"FCE,2004","<s>","Dear","Margarita, Thanks of thinking of me for giving you advice! </s>"
"FCE,2004","<s>","Dear","Mrs Rebecca Hopkins, I am writing to repily to your leaflet which was given to me in order to express my opinions about the local swimming pool. </s>"
"FCE,2004","<s>","Dear","Maria, I was so glad I received your letter and heard that you''ve won some money in a competition. </s>"
"FCE,2004","<s>","Dear","Mrs Hopkins, I am writing to offer you some suggestions for the Greenbank Swimming Pool. </s>"
"FCE,2004","<s>","Dear","David, I''ve just received your letter and I think I can help you. </s>"
"CAE,2004","<s>","TO",": TO: Mr. Chris Patel DATE: 13th May 2004 RECOMMENDATIONS FOR IMPROVEMENTS FOR FUTURE TRIPS. </s>"
"CAE,2004","<s>","Dear","Sir/Madam, I am writing with regard to the announcement about the Island adventure, which I saw published in the ABC newspaper yesterday. </s>"
"CAE,2004","<s>","TO",": Mr Chris Patel, TOUR ORGANISER (GB Sports Club) FROM: SUBJECT: TRIP TO DUBLIN FOR THE MATCH OF 14TH OF MAY 2004. </s>"
"CAE,2004","<s>","I","HAVEN''T SEEN YOU... </s>"
"CAE,2004","<s>","TO",": CHRIS PATEL - THE TOUR ORGANISER </s>"
"CAE,2004","<s>","During","the last century our world and our everyday life changed a lot. </s>"
"CAE,2004","<s>","Report","on the tour to Dublin Introduction The aim of this report is to provide information on the strenghts and weaknesses of the last trip of the sports club to Dublin. </s>"
"CAE,2004","<s>","Dear","Sir, I am writing to apply for taking part in the new programme you are organising. </s>"
"CAE,2004","<s>","To",": Chris Patel, Tour Organiser </s>"
"CAE,2004","<s>","Is","Modern Technology threatening humer relationships? </s>"
"CAE,2004","<s>","Last","Monday''s trip to Dublin had it''s strong and weak spots. </s>"
"CAE,2004","<s>","The","world we live in today is fast, full of technological wonders and new discoveries. </s>"
"CAE,2004","<s>","Report","</s>"
"CAE,2004","<s>","Dear","Sir or Madame, </s>"
"CAE,2004","<s>","""","THE DAYS IN DUBLIN"" Introduction The aim of this report is to describe and assess the travel to Dublin. </s>"
"CAE,2004","<s>","""","COMMUNICATION IN OUR SOCIETY"" </s>"
"CAE,2004","<s>","The","principal aims of this report are to: </s>"
"CAE,2004","<s>","I","wake up, I work, I eat, I sleep with my mobile phone. </s>"
"CAE,2004","<s>","To",": Chris Patel, Tour Organiser Subject: Assessment of the trip to Dublin, Ireland. </s>"
"CAE,2004","<s>","Technology","and communication </s>"
"CAE,2004","<s>","16","May, 2004 </s>"
"CAE,2004","<s>","Undoubtedly",", the era in which we live nowdays had been characterised by many as the era of technology and consumption. </s>"
"CAE,2004","<s>","Trip","to Ireland From: To: Chris Patel Introduction: The aim of this report is to make a brief summary of the experiences the group enjoyed, as well as to point out the problems with which it had to deal and, finally to make suggestions for the improvement of future trips of this type. </s>"
"CAE,2004","<s>","A","modern crisis: Are relationships between humans affected, or even more, influenced negatively by the entry of modern technology, such as the mobile phones and e-mails in our lives? </s>"
"CAE,2004","<s>","Dear","Chris Patel, I''m writing to you to help you improve any future tours you might organise for our sports club. </s>"
"CAE,2004","<s>","Communication",": a RED alert situattion Hello netwalkers book eaters, party holders and internet surfers... </s>"
"CAE,2004","<s>","To",": Chris Patel </s>"
"CAE,2004","<s>","Dear","Sir or Madam, </s>"
"CAE,2004","<s>","Our","trip </s>"
"CAE,2004","<s>","To",": SKY T.V. </s>"
"CAE,2004","<s>","TO",": Mr. Chris Patel, Tour Organiser </s>"
"CAE,2004","<s>","HUMANS","RELATIONSHIPS UNDER THREAT? </s>"
"CAE,2004","<s>","TO",": the tour organiser, Chris Patel FROM: Subj: Traveling for playing in matches DATE: 16/5/04 Introduction The aim of this report is to present the positive points and the problems of the trip of this year, as also some recommended improvements for the following trips. </s>"
"CAE,2004","<s>","Keeping","in touch Technology is and will be in progress for nobody-knows how many years. </s>"
"CAE,2004","<s>","Report","on the Trip at London Sports Club, to Dublin </s>"
"CAE,2004","<s>","Dear","Sir or Madam, </s>"
"CAE,2004","<s>","Introduction","The aim of this report is to make a reference to the features I found satisfying and the problems I faced during my sports'' club tours, whose transport and accomondation you had taken on. </s>"
"CAE,2004","<s>","Dear","Sir or Madam, I am writing to apply for the post of a member of the group as advertised in Athen''s Herald on the first of April. </s>"
"CAE,2004","<s>","To",": Mr Chris Patel DATE: 16/05/04 SUBJECT: SPORTS CLUB TRAVELING. </s>"
"CAE,2004","<s>","Dear","Sir, I saw your announcement in the newspaper yesterday, and I didn''t hesitate to send you my application because as it concerns myself, taking part on such an event is like a dream come true. </s>"
"CAE,2004","<s>","Mr","Patel, </s>"
"CAE,2004","<s>","HELLO","? </s>"
"CAE,2004","<s>","Introduction","The aim of this report is to provide information regarding our recent trip to Dublin, Ireland, which outlines some problems encountered and also present the most enjyable moments, hoping that will help in organizing future trips for the sports club activities. </s>"
"CAE,2004","<s>","Contribution","These days, very few people could dispute the fact that public transport is of a great importance in large cities and capitals. </s>"
"CAE,2004","<s>","1",". </s>"
"CAE,2004","<s>","Dear","Sir or Madam, I am writing to you as I am interested to apply for a position to the new television programme that your channel promotes. </s>"
"CAE,2004","<s>","To",": Mr Chris Patel </s>"
"CAE,2004","<s>","KEEPING","IN TOUCH </s>"
"CPE,2004","<s>","An","issue is not always black and white, however much we would like it to be. </s>"
"CPE,2004","<s>","To",": Local Council </s>"
"CPE,2004","<s>","The","21st Century is the century of technology and everything moves in an accelerating way. </s>"
"CPE,2004","<s>","It","all worked out well in the end </s>"
"CPE,2004","<s>","Everyone","nowadays is talking about a possible global crisis that our planet is going to face and an uncertain future but none of us takes these threats under serious consideration. </s>"
"CPE,2004","<s>","Introduction","</s>"
"CPE,2004","<s>","The","environmental crisis </s>"
"CPE,2004","<s>","This","proposal outlines the uses and functions of the newly modernised old building called Stein House used by young people. </s>"
"CPE,2004","<s>","""","Let''s be optimist"" </s>"
"CPE,2004","<s>","""","It all worked out well in the end"" </s>"
"CPE,2004","<s>","Crisis",", what crisis? </s>"
"CPE,2004","<s>","The","purpose of this proposal is to make suggestions on how the old building at Main Street could be modernised and used for young people. </s>"
"CAE,2004","<s>","From",": </s>"
"CAE,2004","<s>","Face-to-face","or phone-to-pone? </s>"
"CPE,2004","<s>","It","is extremely difficult to be aware of the true situation concerning environment issues, as we are constantly bombarded by the media with various possible future scenarios of a global crisis. </s>"
"CPE,2004","<s>","Dear","Sir/Madam, </s>"
